date,currency_code,rate
2002-02-11,CZK,0.1151
2002-02-11,DKK,0.4922
2002-02-11,EEK,0.2336
2002-02-11,FIM,0.615
2002-02-11,FRF,0.5574
2002-02-11,GRD,0.01073
2002-02-11,ESP,0.021975
2002-02-11,EUR,3.6564
2002-02-11,EUR,3.6564
2002-02-11,JPY,0.031089
2002-02-11,CAD,2.6247
2002-02-11,LUF,0.09064
2002-02-11,NOK,0.4669
2002-02-11,PTE,0.018238
2002-02-11,EUR,3.6564
2002-02-11,USD,4.1863
2002-02-11,CHF,2.476
2002-02-11,SEK,0.396
2002-02-11,HUF,0.015025
2002-02-11,GBP,5.9391
2002-02-11,ITL,0.001888
2002-02-11,EUR,3.6564
2002-02-11,XDR,5.2084
2002-02-12,AUD,2.1338
2002-02-12,ATS,0.2664
2002-02-12,BEF,0.09087
2002-02-12,CZK,0.1156
2002-02-12,DKK,0.4933
2002-02-12,EEK,0.2343
2002-02-12,FIM,0.6165
2002-02-12,FRF,0.5588
2002-02-12,GRD,0.010758
2002-02-12,ESP,0.022031
2002-02-12,EUR,3.6657
2002-02-12,EUR,3.6657
2002-02-12,JPY,0.031228
2002-02-12,CAD,2.6231
2002-02-12,LUF,0.09087
2002-02-12,NOK,0.4675
2002-02-12,PTE,0.018284
2002-02-12,EUR,3.6657
2002-02-12,USD,4.1723
2002-02-12,CHF,2.4793
2002-02-12,SEK,0.3961
2002-02-12,HUF,0.015026
2002-02-12,GBP,5.9508
2002-02-12,ITL,0.001893
2002-02-12,EUR,3.6657
2002-02-12,XDR,5.1973
2002-02-13,AUD,2.1124
2002-02-13,ATS,0.2648
2002-02-13,BEF,0.09033
2002-02-13,CZK,0.115
2002-02-13,DKK,0.4904
2002-02-13,EEK,0.2329
2002-02-13,FIM,0.6129
2002-02-13,FRF,0.5555
2002-02-13,GRD,0.010694
2002-02-13,ESP,0.0219
2002-02-13,EUR,3.6439
2002-02-13,EUR,3.6439
2002-02-13,JPY,0.031312
2002-02-13,CAD,2.6143
2002-02-13,LUF,0.09033
2002-02-13,NOK,0.4654
2002-02-13,PTE,0.018176
2002-02-13,EUR,3.6439
2002-02-13,USD,4.1593
2002-02-13,CHF,2.4647
2002-02-13,SEK,0.3938
2002-02-13,HUF,0.014988
2002-02-13,GBP,5.9712
2002-02-13,ITL,0.001882
2002-02-13,EUR,3.6439
2002-02-13,XDR,5.1911
2002-02-14,AUD,2.1585
2002-02-14,ATS,0.2661
2002-02-14,BEF,0.090761
2002-02-14,CZK,0.1155
2002-02-14,DKK,0.4927
2002-02-14,EEK,0.234
2002-02-14,FIM,0.6158
2002-02-14,FRF,0.5582
2002-02-14,GRD,0.010745
2002-02-14,ESP,0.022005
2002-02-14,EUR,3.6613
2002-02-14,EUR,3.6613
2002-02-14,JPY,0.031695
2002-02-14,CAD,2.6427
2002-02-14,LUF,0.090761
2002-02-14,NOK,0.4699
2002-02-14,PTE,0.018262
2002-02-14,EUR,3.6613
2002-02-14,USD,4.2018
2002-02-14,CHF,2.469
2002-02-14,SEK,0.3977
2002-02-14,HUF,0.015055
2002-02-14,GBP,5.9967
2002-02-14,ITL,0.001891
2002-02-14,EUR,3.6613
2002-02-14,XDR,5.2394
2002-02-15,AUD,2.1652
2002-02-15,ATS,0.2648
2002-02-15,BEF,0.090313
2002-02-15,CZK,0.1151
2002-02-15,DKK,0.4904
2002-02-15,EEK,0.2329
2002-02-15,FIM,0.6127
2002-02-15,FRF,0.5554
2002-02-15,GRD,0.010692
2002-02-15,ESP,0.021896
2002-02-15,EUR,3.6432
2002-02-15,EUR,3.6432
2002-02-15,JPY,0.031495
2002-02-15,CAD,2.6245
2002-02-15,LUF,0.090313
2002-02-15,NOK,0.4691
2002-02-15,PTE,0.018172
2002-02-15,EUR,3.6432
2002-02-15,USD,4.1793
2002-02-15,CHF,2.4561
2002-02-15,SEK,0.3967
2002-02-15,HUF,0.01514
2002-02-15,GBP,5.9749
2002-02-15,ITL,0.001882
